Date,Country,Total
2015-12-27T00:00:00Z,Belgium,1079
2015-12-27T00:00:00Z,France,7096
2015-12-27T00:00:00Z,Ireland,1168
2015-12-27T00:00:00Z,Luxembourg,193
2015-12-27T00:00:00Z,Netherlands,2139
2015-12-27T00:00:00Z,United Kingdom,7821
2016-01-03T00:00:00Z,Belgium,5353
2016-01-03T00:00:00Z,France,28607
2016-01-03T00:00:00Z,Ireland,4495
2016-01-03T00:00:00Z,Luxembourg,996
2016-01-03T00:00:00Z,Netherlands,8216
2016-01-03T00:00:00Z,United Kingdom,32688
2016-01-10T00:00:00Z,Belgium,5425
2016-01-10T00:00:00Z,France,28011
2016-01-10T00:00:00Z,Ireland,4216
2016-01-10T00:00:00Z,Luxembourg,1034
2016-01-10T00:00:00Z,Netherlands,8336
2016-01-10T00:00:00Z,United Kingdom,31562
2016-01-17T00:00:00Z,Belgium,5745
2016-01-17T00:00:00Z,France,28579
2016-01-17T00:00:00Z,Ireland,4220
2016-01-17T00:00:00Z,Luxembourg,1006
2016-01-17T00:00:00Z,Netherlands,8376
2016-01-17T00:00:00Z,United Kingdom,32027
2016-01-24T00:00:00Z,Belgium,5665
2016-01-24T00:00:00Z,France,28183
2016-01-24T00:00:00Z,Ireland,4060
2016-01-24T00:00:00Z,Luxembourg,1078
2016-01-24T00:00:00Z,Netherlands,8408
2016-01-24T00:00:00Z,United Kingdom,32145
2016-01-31T00:00:00Z,Belgium,5748
2016-01-31T00:00:00Z,France,30073
2016-01-31T00:00:00Z,Ireland,4277
2016-01-31T00:00:00Z,Luxembourg,1068
2016-01-31T00:00:00Z,Netherlands,8514
2016-01-31T00:00:00Z,United Kingdom,32727
2016-02-07T00:00:00Z,Belgium,5827
2016-02-07T00:00:00Z,France,29805
2016-02-07T00:00:00Z,Ireland,4392
2016-02-07T00:00:00Z,Luxembourg,1060
2016-02-07T00:00:00Z,Netherlands,8737
2016-02-07T00:00:00Z,United Kingdom,34239
2016-02-14T00:00:00Z,Belgium,5978
2016-02-14T00:00:00Z,France,30976
2016-02-14T00:00:00Z,Ireland,4462
2016-02-14T00:00:00Z,Luxembourg,1076
2016-02-14T00:00:00Z,Netherlands,9093
2016-02-14T00:00:00Z,United Kingdom,35094
2016-02-21T00:00:00Z,Belgium,5981
2016-02-21T00:00:00Z,France,30965
2016-02-21T00:00:00Z,Ireland,4456
2016-02-21T00:00:00Z,Luxembourg,1140
2016-02-21T00:00:00Z,Netherlands,9226
2016-02-21T00:00:00Z,United Kingdom,35338
2016-02-28T00:00:00Z,Belgium,5986
2016-02-28T00:00:00Z,France,30510
2016-02-28T00:00:00Z,Ireland,4487
2016-02-28T00:00:00Z,Luxembourg,1137
2016-02-28T00:00:00Z,Netherlands,9281
2016-02-28T00:00:00Z,United Kingdom,34815
2016-03-06T00:00:00Z,Belgium,6109
2016-03-06T00:00:00Z,France,31780
2016-03-06T00:00:00Z,Ireland,4568
2016-03-06T00:00:00Z,Luxembourg,1175
2016-03-06T00:00:00Z,Netherlands,9566
2016-03-06T00:00:00Z,United Kingdom,35126
2016-03-13T00:00:00Z,Belgium,6285
2016-03-13T00:00:00Z,France,32681
2016-03-13T00:00:00Z,Ireland,4863
2016-03-13T00:00:00Z,Luxembourg,1193
2016-03-13T00:00:00Z,Netherlands,9480
2016-03-13T00:00:00Z,United Kingdom,35906
2016-03-20T00:00:00Z,Belgium,4077
2016-03-20T00:00:00Z,France,31125
2016-03-20T00:00:00Z,Ireland,4865
2016-03-20T00:00:00Z,Luxembourg,1220
2016-03-20T00:00:00Z,Netherlands,9358
2016-03-20T00:00:00Z,United Kingdom,35719
2016-03-27T00:00:00Z,Belgium,3838
2016-03-27T00:00:00Z,France,32475
2016-03-27T00:00:00Z,Ireland,5120
2016-03-27T00:00:00Z,Luxembourg,1239
2016-03-27T00:00:00Z,Netherlands,9966
2016-03-27T00:00:00Z,United Kingdom,37205
2016-04-03T00:00:00Z,Belgium,4719
2016-04-03T00:00:00Z,France,35096
2016-04-03T00:00:00Z,Ireland,5284
2016-04-03T00:00:00Z,Luxembourg,1287
2016-04-03T00:00:00Z,Netherlands,10212
2016-04-03T00:00:00Z,United Kingdom,38358
2016-04-10T00:00:00Z,Belgium,5442
2016-04-10T00:00:00Z,France,35735
2016-04-10T00:00:00Z,Ireland,5243
2016-04-10T00:00:00Z,Luxembourg,1359
2016-04-10T00:00:00Z,Netherlands,10265
2016-04-10T00:00:00Z,United Kingdom,38559
2016-04-17T00:00:00Z,Belgium,5764
2016-04-17T00:00:00Z,France,36256
2016-04-17T00:00:00Z,Ireland,5258
2016-04-17T00:00:00Z,Luxembourg,1368
2016-04-17T00:00:00Z,Netherlands,10593
2016-04-17T00:00:00Z,United Kingdom,38351
2016-04-24T00:00:00Z,Belgium,5755
2016-04-24T00:00:00Z,France,36080
2016-04-24T00:00:00Z,Ireland,5302
2016-04-24T00:00:00Z,Luxembourg,1236
2016-04-24T00:00:00Z,Netherlands,10774
2016-04-24T00:00:00Z,United Kingdom,38600
2016-05-01T00:00:00Z,Belgium,6360
2016-05-01T00:00:00Z,France,35169
2016-05-01T00:00:00Z,Ireland,5467
2016-05-01T00:00:00Z,Luxembourg,1218
2016-05-01T00:00:00Z,Netherlands,10868
2016-05-01T00:00:00Z,United Kingdom,39444
2016-05-08T00:00:00Z,Belgium,6737
2016-05-08T00:00:00Z,France,38335
2016-05-08T00:00:00Z,Ireland,5532
2016-05-08T00:00:00Z,Luxembourg,1309
2016-05-08T00:00:00Z,Netherlands,11043
2016-05-08T00:00:00Z,United Kingdom,40646
2016-05-15T00:00:00Z,Belgium,6673
2016-05-15T00:00:00Z,France,37206
2016-05-15T00:00:00Z,Ireland,5680
2016-05-15T00:00:00Z,Luxembourg,1275
2016-05-15T00:00:00Z,Netherlands,10942
2016-05-15T00:00:00Z,United Kingdom,41087
2016-05-22T00:00:00Z,Belgium,6720
2016-05-22T00:00:00Z,France,38189
2016-05-22T00:00:00Z,Ireland,5784
2016-05-22T00:00:00Z,Luxembourg,1342
2016-05-22T00:00:00Z,Netherlands,11169
2016-05-22T00:00:00Z,United Kingdom,42431
2016-05-29T00:00:00Z,Belgium,6794
2016-05-29T00:00:00Z,France,38895
2016-05-29T00:00:00Z,Ireland,5938
2016-05-29T00:00:00Z,Luxembourg,1314
2016-05-29T00:00:00Z,Netherlands,11022
2016-05-29T00:00:00Z,United Kingdom,42096
2016-06-05T00:00:00Z,Belgium,6777
2016-06-05T00:00:00Z,France,38647
2016-06-05T00:00:00Z,Ireland,6021
2016-06-05T00:00:00Z,Luxembourg,1411
2016-06-05T00:00:00Z,Netherlands,11286
2016-06-05T00:00:00Z,United Kingdom,42860
2016-06-12T00:00:00Z,Belgium,6922
2016-06-12T00:00:00Z,France,39566
2016-06-12T00:00:00Z,Ireland,6138
2016-06-12T00:00:00Z,Luxembourg,1336
2016-06-12T00:00:00Z,Netherlands,11129
2016-06-12T00:00:00Z,United Kingdom,42737
2016-06-19T00:00:00Z,Belgium,6793
2016-06-19T00:00:00Z,France,40500
2016-06-19T00:00:00Z,Ireland,6215
2016-06-19T00:00:00Z,Luxembourg,1385
2016-06-19T00:00:00Z,Netherlands,11102
2016-06-19T00:00:00Z,United Kingdom,42981
2016-06-26T00:00:00Z,Belgium,7052
2016-06-26T00:00:00Z,France,40827
2016-06-26T00:00:00Z,Ireland,6120
2016-06-26T00:00:00Z,Luxembourg,1406
2016-06-26T00:00:00Z,Netherlands,11102
2016-06-26T00:00:00Z,United Kingdom,43139
2016-07-03T00:00:00Z,Belgium,7030
2016-07-03T00:00:00Z,France,42261
2016-07-03T00:00:00Z,Ireland,6026
2016-07-03T00:00:00Z,Luxembourg,1322
2016-07-03T00:00:00Z,Netherlands,11293
2016-07-03T00:00:00Z,United Kingdom,43417
2016-07-10T00:00:00Z,Belgium,6904
2016-07-10T00:00:00Z,France,39334
2016-07-10T00:00:00Z,Ireland,6124
2016-07-10T00:00:00Z,Luxembourg,1297
2016-07-10T00:00:00Z,Netherlands,11449
2016-07-10T00:00:00Z,United Kingdom,43632
2016-07-17T00:00:00Z,Belgium,6873
